room_id,rating,city,contextualPicturesCount,lat,long,listingObjType,name,roomTypeCategory,reviewCount,isSuperHost,isVerified,yearHosting,canInstantBook,price,maxGuestCapacity,SYSTEM_LOCK_ON_DOOR,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_PETS,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_SNOWFLAKE,SYSTEM_HAIRDRYER,SYSTEM_DRYER,SYSTEM_SURVEILLANCE,SYSTEM_VIEW_CITY,SYSTEM_JACUZZI,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_BEACH,SYSTEM_POOL,SYSTEM_FIREPIT,SYSTEM_ELEVATOR,SYSTEM_PATIO_BALCONY,SYSTEM_SMOKING_ALLOWED,SYSTEM_FIREPLACE,SYSTEM_FLOWER,SYSTEM_VIEW_MOUNTAIN,SYSTEM_REFRIGERATOR,SYSTEM_BATHTUB,SYSTEM_VIEW_OCEAN,SYSTEM_BREAKFAST,SYSTEM_LUGGAGE_DROP,SYSTEM_CALENDAR,SYSTEM_MICROWAVE,SYSTEM_GYM,SYSTEM_SKI,SYSTEM_MAPS_RESORT
18715959,4.65,quangninh,9,20.72513,107.05226,REGULAR,Phòng trên núi (Cool),private_room,98,1.0,1.0,6.0,0,365177,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
17045836,4.8,quangninh,10,20.83587,106.70142,REGULAR,"Phòng riêng, khu vực quốc tế, gần sân bay",private_room,44,0.0,1.0,5.0,0,269773,4,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
932316866758245260,0.0,quangninh,18,20.8503137,106.6752307,REGULAR,GM Homestay- Your second Home 202,private_room,0,0.0,1.0,0.0,0,360009,3,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
930889980451095123,0.0,quangninh,18,20.850609473846724,106.67488201282809,REGULAR,GM Homestay : Your Second Home 201,private_room,0,0.0,1.0,0.0,0,318336,3,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
688275793706514315,4.88,quangninh,21,20.958513151728248,107.05127108842134,REGULAR,"Nhà tạo mẫu phòng riêng, phòng sạch sẽ và giá rẻ, ngẫu nhiên",private_room,34,0.0,0.0,0.0,0,342353,2,2.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
872783277087143270,5.0,quangninh,15,20.86604,106.6734,REGULAR,Central cozy Exclusive room,private_room,3,1.0,1.0,0.16666666666666666,0,270644,2,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
888179817439018334,0.0,quangninh,5,20.85477,106.6903,REGULAR,Cozy room with a workspace,private_room,0,0.0,1.0,0.0,0,214541,2,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
883154854150171750,0.0,quangninh,7,20.85672,106.69044,REGULAR,Private relaxing room,private_room,2,0.0,1.0,0.25,0,285294,2,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
769261949815158466,0.0,quangninh,6,20.948202674784177,107.07407264047853,REGULAR,Homestay ngày 5 tháng 5,shared_room,0,0.0,0.0,0.0,0,275024,8,2.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
891901613128371597,0.0,quangninh,29,20.74965,106.99755,REGULAR,Bed in dormitory-CatBa SOL Beach,shared_room,0,0.0,0.0,0.0,0,268177,16,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
883765589019332011,0.0,quangninh,30,20.956263866462077,107.00447056442499,REGULAR,Halong And Me Deluxe Stay,private_room,0,0.0,0.0,0.0,0,356883,6,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
39428399,5.0,quangninh,21,20.95037,107.09922,REGULAR,Bữa sáng miễn phí - Giường tuyệt vời trong phòng ký túc xá 8 giường,shared_room,3,0.0,0.0,0.0,0,276377,8,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
937522611010840529,0.0,quangninh,22,20.837486861494302,106.70194396641533,REGULAR,Phòng Đơn 2 người Holiday,private_room,0,0.0,0.0,0.0,0,365177,2,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
31097843,4.21,quangninh,23,20.84682,106.6538,REGULAR,"Phòng đôi nhà nghỉ Bảo Minh, thành phố Hải Phòng",private_room,14,0.0,0.0,0.0,0,296706,2,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
