room_id,rating,city,contextualPicturesCount,lat,long,listingObjType,name,roomTypeCategory,canInstantBook,price,maxGuestCapacity,SYSTEM_BEACH,SYSTEM_COOKING_BASICS,SYSTEM_WI_FI,SYSTEM_WORKSPACE,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_TV,SYSTEM_WASHER,SYSTEM_SNOWFLAKE,SYSTEM_SURVEILLANCE,SYSTEM_HAIRDRYER,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_VIEW_CITY,SYSTEM_FLOWER,SYSTEM_POOL,SYSTEM_PETS,SYSTEM_ELEVATOR,SYSTEM_VIEW_OCEAN,SYSTEM_PATIO_BALCONY,SYSTEM_JACUZZI,isSuperHost,isVerified,SYSTEM_LOCK_ON_DOOR,SYSTEM_DRYER,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_VIEW_MOUNTAIN,reviewCount,SYSTEM_LUGGAGE_DROP,SYSTEM_BREAKFAST,SYSTEM_SMOKING_ALLOWED,yearHosting
905366984392117132,0.0,quangninh,12,20.95425,107.00299,REGULAR,S space Ha Long,entire_home,0,2787598,4.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0,2.0,2.0,2.0,0
930127357487683328,0.0,quangninh,30,20.928470268806535,106.98636033848152,REGULAR,Ha Long Bay Fantasea Cruise,private_room,0,2624707,2.0,2.0,2.0,1,1.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0,2.0,2.0,2.0,0
735186767197742896,0.0,quangninh,15,20.736002313563866,107.04193138170425,REGULAR,Little Alley House - Nhà Trong Ngõ,entire_home,0,2770119,10.0,1.0,1.0,1,2.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0,2.0,2.0,2.0,0
49065428,0.0,quangninh,8,20.95764,107.00697,REGULAR,Căn hộ 2 ngủ cần riêng tư,private_room,0,2744472,4.0,2.0,1.0,1,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0,2.0,2.0,2.0,0
862733739492121817,0.0,quangninh,28,20.96072,107.15598,REGULAR,Nice-Duc Duong Apartment-下龍灣,entire_home,0,2738825,4.0,2.0,1.0,1,1.0,1.0,1.0,2.0,1.0,2.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0,2.0,2.0,2.0,0
864800020788543401,0.0,quangninh,13,20.95457,107.0162,REGULAR,A La Carte Hạ Long view biển 2PN,entire_home,0,2601884,5.0,1.0,1.0,1,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,0,2.0,2.0,2.0,0
853887103527912825,0.0,quangninh,17,20.9594664,107.0603741,REGULAR,Phòng rộng rãi ở Hạ Long*Bữa sáng * Hồ bơi * Hồ bơi,private_room,0,2750237,2.0,2.0,2.0,1,1.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0,2.0,2.0,2.0,0
914164240626395409,0.0,quangninh,11,20.96331,107.04766,REGULAR,Chung Cư THANH HA,entire_home,0,2608405,1.0,2.0,1.0,1,2.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0,2.0,2.0,2.0,0
24300646,0.0,quangninh,13,20.96448,106.99166,REGULAR,Nhà của Tina ở trung tâm thành phố Hạ Long.,private_room,0,2697681,6.0,2.0,1.0,1,2.0,2.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,1.0,2.0,1.0,0.0,2.0,0,2.0,2.0,2.0,0
888752943344878915,0.0,quangninh,30,20.958244829803164,107.01331414282322,REGULAR,penhouse 4 ngủ giá rẻ,entire_home,0,2738825,8.0,2.0,1.0,1,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0,2.0,2.0,2.0,0
