room_id,rating,city,contextualPicturesCount,lat,long,listingObjType,name,roomTypeCategory,reviewCount,canInstantBook,price,maxGuestCapacity,SYSTEM_MAPS_CAR_RENTAL,SYSTEM_PETS,SYSTEM_PATIO_BALCONY,SYSTEM_FLOWER,SYSTEM_FIREPLACE,SYSTEM_LUGGAGE_DROP,SYSTEM_HAIRDRYER,SYSTEM_SMOKING_ALLOWED,SYSTEM_NO_DETECTOR_CO2,SYSTEM_NO_DETECTOR_SMOKE,SYSTEM_VIEW_OCEAN,SYSTEM_COOKING_BASICS,SYSTEM_WORKSPACE,SYSTEM_TV,SYSTEM_SURVEILLANCE,SYSTEM_WI_FI,SYSTEM_WASHER,isSuperHost,isVerified,yearHosting,SYSTEM_JACUZZI,SYSTEM_SNOWFLAKE,SYSTEM_BREAKFAST,SYSTEM_NO_LOCK_ON_DOOR,SYSTEM_BEACH,SYSTEM_VIEW_MOUNTAIN,SYSTEM_ELEVATOR,SYSTEM_POOL,SYSTEM_MICROWAVE,SYSTEM_CALENDAR,SYSTEM_DRYER,SYSTEM_VIEW_CITY,SYSTEM_EV_CHARGER,SYSTEM_REFRIGERATOR,SYSTEM_GYM
24587271,4.75,quangninh,30,20.80515,107.03959,REGULAR,Nhà cổ cho gia đình hoặc nhóm bạn bè,entire_home,4,0,2367202,6.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
798340530307593216,4.8,quangninh,24,20.95026,107.07049,REGULAR,3Br Harbor House - Trung tâm thành phố,entire_home,5,0,2355060,8.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
935184451448793081,0.0,quangninh,9,21.519341880625163,107.9633359816308,REGULAR,Happy Homestay Móng Cái,entire_home,0,0,2282354,8.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
30723262,4.71,quangninh,14,20.73079,107.05965,REGULAR,#1 du lịch Vịnh Lan Hà - Đảo Bà Nà - Nhóm nhỏ!,private_room,17,0,2339413,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,5,1.0,1.0,1.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
29598056,5.0,quangninh,23,20.72099,107.05791,REGULAR,ƯU ĐÃI TỐT cho chuyến DU lịch VỊNH LAN HẠ của BACKPACKERS-2D1N,private_room,3,0,2270942,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,0.0,0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
34482115,4.7,quangninh,30,20.95482,107.08559,REGULAR,Hạ Long Hạ Long Nhà ấm cúng,entire_home,10,0,2242386,4.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
673424875333435441,0.0,quangninh,23,20.95945497833524,107.00255278497934,REGULAR,Căn hộ 3PN có bể bơi view biển,entire_home,0,0,2358433,6.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,0.0,0.0,0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0
664929083143765936,0.0,quangninh,27,20.95236,107.02416,REGULAR,"Homestay 1986 Hạ Long, 3 phòng ngủ, view biển",entire_home,0,0,2396472,8.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
905435240424366672,0.0,quangninh,27,20.96104,107.07,REGULAR,Luxury Green Diamond Hạ Long 2br,entire_home,0,0,2282354,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
715889995150166743,5.0,quangninh,10,20.724482,107.053356,REGULAR,Phòng gia đình có hương vị cà phê và bữa sáng,private_room,3,0,2282354,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
